author_anonymous,package_id_new,asset_type,content_category,reason_code,original_audio_language,source_language,target_language,runtime_minutes,start_date,submit_date,due_date,on_time_current,expected_daily_output,num_days_spent,expected_TAT,on_time_actual,tat_coef,tat_coef_comp,tat_coef_std,deliver_score
SnOkBSsK,2454666,SUBTITLE,VIDEO,RUSH,en,en,ko,48.3,2023-01-14,2023-01-20,2023-01-21,1,30,5.0,2.0,0.0,2.5,1.8646864686468647,1.7317240720813993,1
dVDXTnCC,2294298,LANGUAGE_TEMPLATE,VIDEO,RUSH,en,en,en,43.9,2023-01-20,2023-01-23,2023-01-23,1,30,2.0,2.0,1.0,1.0,2.018115942028986,1.3420667290965491,3
SnOkBSsK,2292427,SUBTITLE,VIDEO,RUSH,en,en,ko,44.6,2023-01-17,2023-01-23,2023-01-24,1,30,5.0,2.0,0.0,2.5,1.8646864686468647,1.7317240720813993,1
usFzGMus,2794856,SUBTITLE,VIDEO,RUSH,en,en,it,51.7,2023-01-22,2023-01-24,2023-01-25,1,30,2.0,2.0,1.0,1.0,2.8095238095238098,1.7563768345260038,3
SnOkBSsK,2527243,SUBTITLE,VIDEO,RUSH,en,en,ko,43.9,2023-01-24,2023-01-27,2023-01-28,1,30,4.0,2.0,0.0,2.0,1.8646864686468647,1.7317240720813993,1
hfCXIyux,2860936,SUBTITLE,VIDEO,STANDARD,en,en,uk,64.2,2022-12-28,2023-01-02,2023-01-03,1,15,4.0,5.0,1.0,0.8,1.8420787545787547,1.7615285733288095,3
PIOhXLti,2598300,CLOSED_CAPTIONING,VIDEO,STANDARD,en,en,en,24.9,2022-12-29,2023-01-02,2023-01-10,1,30,3.0,1.0,0.0,3.0,2.996292585170341,3.718679129654956,1
bOJuWEVb,2860936,SUBTITLE,VIDEO,STANDARD,en,en,hu,64.2,2022-12-28,2023-01-02,2023-01-11,1,15,4.0,5.0,1.0,0.8,2.0464979352174475,2.032637398469864,3
OgoCLgVG,2258112,SUBTITLE,VIDEO,STANDARD,pcm,en,uk,37.3,2022-12-23,2023-01-02,2023-01-03,1,15,7.0,3.0,0.0,2.3333333333333335,1.9166666666666667,0.4194352464039307,0
qpZIHMRF,2280148,SUBTITLE,VIDEO,STANDARD,id,en,en,23.4,2022-12-29,2023-01-02,2023-01-03,1,15,3.0,2.0,0.0,1.5,1.05,0.49721446300587663,0
MjErYYAM,2956583,SUBTITLE,VIDEO,STANDARD,fr,en,ko,39.8,2022-12-22,2023-01-02,2023-01-03,1,15,8.0,3.0,0.0,2.6666666666666665,2.3601190476190474,1.8204353529452046,1
NJRfNDbm,2923671,SUBTITLE,VIDEO,STANDARD,pt-BR,en,ro,32.1,2022-12-30,2023-01-02,2023-01-03,1,15,2.0,3.0,1.0,0.6666666666666666,1.3569444444444443,0.8174998326794791,3
pcQuLXgx,2269620,SUBTITLE,VIDEO,STANDARD,it,en,ro,42.8,2022-12-29,2023-01-02,2023-01-03,1,15,3.0,3.0,1.0,1.0,1.1911764705882353,1.1295297332521412,3
rWSSgCNn,2350704,SUBTITLE,VIDEO,STANDARD,id,en,pl,24.0,2023-01-02,2023-01-02,2023-01-05,1,15,1.0,2.0,1.0,0.5,0.55,0.15811388300841897,3
yLRfcGDA,2972710,SUBTITLE,VIDEO,STANDARD,ko,en,sv,70.1,2022-12-06,2023-01-02,2023-01-04,1,15,20.0,5.0,0.0,4.0,1.9725890985324948,1.7240738286843937,0
uyBTIopk,2280148,SUBTITLE,VIDEO,STANDARD,id,en,pt-BR,23.4,2022-12-29,2023-01-02,2023-01-03,1,15,3.0,2.0,0.0,1.5,1.1,0.39440531887330776,0
DjdMFVYg,2555156,SUBTITLE,VIDEO,STANDARD,pl,en,ko,47.4,2022-12-29,2023-01-02,2023-01-03,1,15,3.0,4.0,1.0,0.75,2.2973057644110275,2.421103678051132,3
yLRfcGDA,2527076,SUBTITLE,VIDEO,STANDARD,ko,en,sv,63.2,2022-11-21,2023-01-02,2023-01-04,1,15,31.0,5.0,0.0,6.2,1.9725890985324948,1.7240738286843937,0
dMAftdKh,2984769,SUBTITLE,VIDEO,STANDARD,en,en,cs,42.7,2022-12-30,2023-01-02,2023-01-02,1,15,2.0,3.0,1.0,0.6666666666666666,1.400359195402299,1.1794316330361703,3
rWSSgCNn,2280148,SUBTITLE,VIDEO,STANDARD,id,en,pl,23.4,2023-01-02,2023-01-02,2023-01-03,1,15,1.0,2.0,1.0,0.5,0.55,0.15811388300841897,3
yLRfcGDA,2098534,SUBTITLE,VIDEO,STANDARD,ko,en,sv,63.3,2022-11-28,2023-01-02,2023-01-04,1,15,26.0,5.0,0.0,5.2,1.9725890985324948,1.7240738286843937,0
OqDYtmgW,2939110,SUBTITLE,VIDEO,STANDARD,en,en,ko,13.3,2022-12-22,2023-01-03,2023-01-07,1,15,9.0,1.0,0.0,9.0,1.8356049332611832,1.6860886686891248,0
SnOkBSsK,2373120,SUBTITLE,VIDEO,STANDARD,en,en,ko,53.8,2023-01-01,2023-01-03,2023-01-04,1,15,2.0,4.0,1.0,0.5,1.8356049332611832,1.6860886686891248,3
OqDYtmgW,2405332,SUBTITLE,VIDEO,STANDARD,en,en,ko,13.3,2022-12-27,2023-01-03,2023-01-07,1,15,6.0,1.0,0.0,6.0,1.8356049332611832,1.6860886686891248,0
OqDYtmgW,2754467,SUBTITLE,VIDEO,STANDARD,en,en,ko,13.3,2022-12-25,2023-01-03,2023-01-07,1,15,7.0,1.0,0.0,7.0,1.8356049332611832,1.6860886686891248,0
OqDYtmgW,2776785,SUBTITLE,VIDEO,STANDARD,en,en,ko,13.3,2022-12-25,2023-01-03,2023-01-07,1,15,7.0,1.0,0.0,7.0,1.8356049332611832,1.6860886686891248,0
rWSSgCNn,2035951,SUBTITLE,VIDEO,STANDARD,id,en,pl,20.9,2023-01-03,2023-01-03,2023-01-07,1,15,1.0,2.0,1.0,0.5,0.55,0.15811388300841897,3
OqDYtmgW,2654074,SUBTITLE,VIDEO,STANDARD,en,en,ko,13.3,2022-12-21,2023-01-03,2023-01-07,1,15,10.0,1.0,0.0,10.0,1.8356049332611832,1.6860886686891248,0
uvqzhEpO,2723384,CLOSED_CAPTIONING,VIDEO,STANDARD,en,en,en,47.0,2023-01-02,2023-01-03,2023-01-04,1,30,2.0,2.0,1.0,1.0,2.996292585170341,3.718679129654956,3
vBseNRfx,2443914,SUBTITLE,VIDEO,STANDARD,ko,en,fil,59.5,2022-12-16,2023-01-03,2023-01-04,1,15,13.0,4.0,0.0,3.25,1.9150485769020253,2.05808461208629,0
NvwUsmQQ,2796090,SUBTITLE,VIDEO,STANDARD,pt-BR,en,it,68.9,2022-12-27,2023-01-03,2023-01-03,1,15,6.0,5.0,0.0,1.2,1.3583333333333334,0.4584848234492973,2
cAVvxKSo,2901737,SUBTITLE,VIDEO,STANDARD,pt-BR,en,hu,50.4,2023-01-01,2023-01-03,2023-01-03,1,15,2.0,4.0,1.0,0.5,1.1805555555555556,0.9315707563433249,3
eELTjSXm,2901737,SUBTITLE,VIDEO,STANDARD,pt-BR,en,zh-Hant,50.4,2023-01-02,2023-01-03,2023-01-03,1,15,2.0,4.0,1.0,0.5,0.5416666666666666,0.15957118462605635,3
aIGNspiD,2901737,SUBTITLE,VIDEO,STANDARD,pt-BR,en,fi,50.4,2023-01-03,2023-01-03,2023-01-03,1,15,1.0,4.0,1.0,0.25,1.0351851851851852,0.5500115533215811,3
qpZIHMRF,2555156,SUBTITLE,VIDEO,STANDARD,pl,en,en,47.4,2022-12-29,2023-01-03,2023-01-08,1,15,4.0,4.0,1.0,1.0,0.9325396825396824,0.7868558325925775,3
OdOfgsyS,2141882,CLOSED_CAPTIONING,VIDEO,STANDARD,es,en,en,110.7,2022-12-23,2023-01-03,2023-01-03,1,15,8.0,8.0,1.0,1.0,1.0951058201058201,2.0006016276616116,3
rTejzOaV,2380426,SUBTITLE,VIDEO,STANDARD,en,en,cs,33.5,2022-12-14,2023-01-03,2023-01-04,1,15,15.0,3.0,0.0,5.0,1.400359195402299,1.1794316330361703,0
eqHSVUAe,2402512,SUBTITLE,VIDEO,STANDARD,ko,en,fil,59.4,2022-12-20,2023-01-03,2023-03-04,1,15,11.0,4.0,0.0,2.75,1.9150485769020253,2.05808461208629,1
OdOfgsyS,2141882,CLOSED_CAPTIONING,VIDEO,STANDARD,es,en,en,110.7,2023-01-03,2023-01-03,2023-01-04,1,15,1.0,8.0,1.0,0.125,1.0951058201058201,2.0006016276616116,3
qpZIHMRF,2350704,SUBTITLE,VIDEO,STANDARD,id,en,en,24.0,2022-12-30,2023-01-03,2023-01-05,1,15,3.0,2.0,0.0,1.5,1.05,0.49721446300587663,0
shNfpPiW,2398613,SUBTITLE,VIDEO,STANDARD,en,en,ms,27.4,2022-12-27,2023-01-04,2023-01-11,1,15,7.0,2.0,0.0,3.5,1.6012297453703705,1.0085205152013363,0
bOJuWEVb,2160394,SUBTITLE,VIDEO,STANDARD,en,en,hu,58.9,2022-12-30,2023-01-04,2023-01-11,1,15,4.0,4.0,1.0,1.0,2.0464979352174475,2.032637398469864,3
SXHDCDIe,2913027,SUBTITLE,VIDEO,STANDARD,ko,en,fil,82.6,2022-12-10,2023-01-04,2023-03-04,1,15,18.0,6.0,0.0,3.0,1.9150485769020253,2.05808461208629,0
HtlwIVWi,2057758,SUBTITLE,VIDEO,STANDARD,en,en,de,32.7,2022-12-15,2023-01-04,2023-02-01,1,15,15.0,3.0,0.0,5.0,2.7426737451737453,3.0846860659677833,0
XrqCAaoF,2526999,SUBTITLE,VIDEO,STANDARD,pl,en,ko,98.4,2022-12-29,2023-01-04,2023-01-04,1,15,5.0,7.0,1.0,0.7142857142857143,2.2973057644110275,2.421103678051132,3
uyBTIopk,2350704,SUBTITLE,VIDEO,STANDARD,id,en,pt-BR,24.0,2023-01-04,2023-01-04,2023-01-05,1,15,1.0,2.0,1.0,0.5,1.1,0.39440531887330776,3
hfCXIyux,2160394,SUBTITLE,VIDEO,STANDARD,en,en,uk,58.9,2022-12-31,2023-01-04,2023-01-13,1,15,3.0,4.0,1.0,0.75,1.8420787545787547,1.7615285733288095,3
bdhKZElD,2536838,CLOSED_CAPTIONING,VIDEO,STANDARD,en,en,en,36.3,2022-12-30,2023-01-04,2023-01-04,1,30,4.0,2.0,0.0,2.0,2.996292585170341,3.718679129654956,2
rTejzOaV,2879902,SUBTITLE,VIDEO,STANDARD,en,en,cs,25.7,2023-01-03,2023-01-04,2023-01-05,1,15,2.0,2.0,1.0,1.0,1.400359195402299,1.1794316330361703,3
OCAAjkFD,2372356,SUBTITLE,VIDEO,STANDARD,ko,ko,zh-Hant,51.8,2022-12-30,2023-01-04,2023-01-05,1,15,4.0,4.0,1.0,1.0,1.6233134920634922,0.9462078583612005,3
GkCihNaE,2231173,LANGUAGE_TEMPLATE,VIDEO,STANDARD,en,en,en,93.3,2022-12-27,2023-01-04,2023-01-04,1,15,7.0,7.0,1.0,1.0,1.9431880108991826,1.3337256109983475,3
rWSSgCNn,2114522,SUBTITLE,VIDEO,STANDARD,es,en,pl,42.8,2023-01-03,2023-01-04,2023-01-10,1,15,2.0,3.0,1.0,0.6666666666666666,0.9449665831244779,0.6842121706150089,3
XrqCAaoF,2946277,SUBTITLE,VIDEO,STANDARD,en,en,ko,297.7,2022-12-01,2023-01-04,2023-01-04,1,15,25.0,20.0,0.0,1.25,1.8356049332611832,1.6860886686891248,2
yLRfcGDA,2423728,SUBTITLE,VIDEO,STANDARD,ko,en,sv,60.1,2022-12-06,2023-01-04,2023-01-05,1,15,22.0,5.0,0.0,4.4,1.9725890985324948,1.7240738286843937,0
PIOhXLti,2868304,CLOSED_CAPTIONING,VIDEO,STANDARD,en,en,en,24.1,2022-12-30,2023-01-04,2023-01-10,1,30,4.0,1.0,0.0,4.0,2.996292585170341,3.718679129654956,1
rZGZZGpy,2739833,SUBTITLE,VIDEO,STANDARD,es,en,cs,25.2,2023-01-03,2023-01-04,2023-01-06,1,15,2.0,2.0,1.0,1.0,0.9554396290351347,0.6470912965287233,3
rTejzOaV,2029785,SUBTITLE,VIDEO,STANDARD,en,en,cs,24.8,2023-01-04,2023-01-04,2023-01-06,1,15,1.0,2.0,1.0,0.5,1.400359195402299,1.1794316330361703,3
OdOfgsyS,2920205,CLOSED_CAPTIONING,VIDEO,STANDARD,pl,en,en,56.2,2022-12-15,2023-01-04,2023-01-04,1,15,15.0,4.0,0.0,3.75,2.6794425087108014,2.0153067008937153,0
ZMZMQSnv,2920281,SUBTITLE,VIDEO,STANDARD,ja,en,zh-Hans,33.2,2023-01-03,2023-01-04,2023-01-07,1,15,2.0,3.0,1.0,0.6666666666666666,1.5768981481481483,1.2595167337722901,3
dVDXTnCC,2231745,LANGUAGE_TEMPLATE,VIDEO,STANDARD,en,en,en,26.5,2022-12-31,2023-01-04,2023-01-04,1,15,3.0,2.0,0.0,1.5,1.9431880108991826,1.3337256109983475,2
xuvhruIk,2920281,SUBTITLE,VIDEO,STANDARD,ja,en,pt-BR,33.2,2023-01-03,2023-01-04,2023-01-07,1,15,2.0,3.0,1.0,0.6666666666666666,4.424499654934437,4.315306363316331,3
vCXipeUH,2719410,SUBTITLE,VIDEO,STANDARD,ja,en,fi,33.5,2023-01-03,2023-01-04,2023-01-11,1,15,2.0,3.0,1.0,0.6666666666666666,1.20893096194301,0.6644564606286643,3
vCXipeUH,2920281,SUBTITLE,VIDEO,STANDARD,ja,en,fi,33.2,2023-01-02,2023-01-04,2023-01-07,1,15,3.0,3.0,1.0,1.0,1.20893096194301,0.6644564606286643,3
JRxZHDjc,2463376,LANGUAGE_TEMPLATE,VIDEO,STANDARD,ja,en,en,33.5,2022-12-22,2023-01-04,2023-01-05,1,15,10.0,3.0,0.0,3.3333333333333335,3.0166666666666666,1.5702489207295645,1
jlJIdjCC,2234333,SUBTITLE,VIDEO,STANDARD,en,en,zh-Hans,52.9,2022-12-31,2023-01-05,2023-01-13,1,15,4.0,4.0,1.0,1.0,1.2029684313203866,0.9775251471830632,3
cKwUpGHt,2920281,SUBTITLE,VIDEO,STANDARD,ja,en,fil,33.2,2023-01-03,2023-01-05,2023-01-07,1,15,3.0,3.0,1.0,1.0,1.6143867924528301,1.901576776853138,3
rTejzOaV,2186856,SUBTITLE,VIDEO,STANDARD,en,en,cs,25.7,2023-01-05,2023-01-05,2023-01-06,1,15,1.0,2.0,1.0,0.5,1.400359195402299,1.1794316330361703,3
erXhExux,2372356,CLOSED_CAPTIONING,VIDEO,STANDARD,ko,ko,ko,51.8,2022-12-30,2023-01-05,2023-01-05,1,30,5.0,2.0,0.0,2.5,1.8762626262626263,1.0781368179950532,0
xuvhruIk,2719410,SUBTITLE,VIDEO,STANDARD,ja,en,pt-BR,33.5,2023-01-03,2023-01-05,2023-01-11,1,15,3.0,3.0,1.0,1.0,4.424499654934437,4.315306363316331,3
XrqCAaoF,2818376,SUBTITLE,VIDEO,STANDARD,en,en,ko,27.0,2022-12-22,2023-01-05,2023-01-06,1,15,11.0,2.0,0.0,5.5,1.8356049332611832,1.6860886686891248,0
kkQyuVZN,2212990,SUBTITLE,VIDEO,STANDARD,ko,ko,zh-Hans,136.8,2022-12-31,2023-01-05,2023-01-05,1,15,4.0,10.0,1.0,0.4,0.854029029029029,0.7210903853322176,3
XrqCAaoF,2084429,SUBTITLE,VIDEO,STANDARD,en,en,ko,24.7,2022-12-21,2023-01-05,2023-01-06,1,15,12.0,2.0,0.0,6.0,1.8356049332611832,1.6860886686891248,0
JsqRJdmq,2566930,SUBTITLE,VIDEO,STANDARD,it,en,pt-BR,29.5,2023-01-03,2023-01-05,2023-01-05,1,15,3.0,2.0,0.0,1.5,1.4818840579710146,0.9367485276893894,1
